"Latitude","Longitude","Pop","pch"
38.1625,54.8,"RU003",19
38.3672222222222,42.7736111111111,"TR004",19
38.7672222222222,37.0038888888889,"TR003",19
39.7825,41.0736111111111,"TR005",19
40.1566666666667,22.5480555555556,"GR001",19
40.6213888888889,23.0786111111111,"GR002",15
40.8508333333333,25.7930555555556,"GR003",19
41.7511111111111,27.2477777777778,"TR001",15
43.3819444444444,28.4575,"BG001",15
43.9024333333333,28.5739166666667,"RO002",19
44.05,43.06000278,"RU008",15
44.1102777777778,28.6369444444444,"RO001",19
44.13999722,44.02,"RU006",1
44.3896666666667,28.5266388888889,"RO003",19
45.3258333333333,37.2236111111111,"RU007",1
45.4978611111111,27.9118055555556,"RO005",19
45.5761833333333,29.51805,"RO004",19
45.7083333333333,33.3497222222222,"UA006",19
46.7572222222222,32.7661111111111,"UA008",19
47.6419444444444,18.7825,"HU001",19
47.862,38.4606944444444,"UA005",19
48.0922222222222,30.7497222222222,"UA007",19
48.1006666666667,37.8161111111111,"UA001",19
48.1523333333333,37.8405833333333,"UA002",19
48.6460277777778,30.7750833333333,"UA004",19
49.1791667,53.2422611,"RU002",19
49.1876667,53.2534694,"RU005",19
50.48075,30.4863055555556,"UA003",19
51.38333333,56.8,"RU001",19
60.16666667,55.01666667,"RU004",19
